,Username,Caption,Hastag,Likes,Comments
0,serhiclaudia,"Mengenal mu suatu keberuntungan untuk ku
Mencintai adalah hal terindah dalam hidup ku
Dicintai mu adalah anugrah untukku
Bersama mu adalah masa terbaik dalam hidup ku
Dan kau benar, Tuhan yang paling mencintai mu. Tuhan lebih mencintai mu, dia mengambil mu dari ku,  sebelum aku bisa menjadikan mu istriku. 
Yang terpenting kau sudah tau dan aku sudah tenang mengungkapkan nya pada mu,  bahwa aku sangat mencintai, menyayangi dan mengagumi mu. Adik kecil ku. Love you.",[],0,[]
1,cindihouw_,Ada mereka di dalam goresan cerita dan cinta qu ,[],212,"['', 'Asekk', '']"
2,cindihouw_,"*GIVEAWAY TIME*, yup kita bakal bagi-bagi nih kepada para customers dan para followers kita di seluruh dunia.
.
Kita bakal bagi-bagi 1 buah gamis Yang menawan dan 2 buah hijab Yang akan melengkapkan hari-harimu,Kita akan mengundi 3 orang beruntung Yang akan mendapatkan hadiah tersebut. .
Cara ikutan giveaway nya gampang banget, caranya: 
1. Follow ig @otth_co
2. Repost postingan ini dengan tag ig @otth_co
3. Tag 5 temen kalian di kolom komentar .
So gampang bangett cara ikutan nyaa, Jangann lewat kan giveaway inii 
.
Ket: - pemenang akan di undi Oleh pihak kami, dan kami akan jujur dalam proses pemilihan nya
- Pemenang akan kami umumkan di story kami,
Pada Tanggal 10 September 2019 dan Ketika sudah ada pemenang nya kami akan Dm pemenang itu dan para pemenang wajib membalas Dm kami dalam waktu 1*24 jam, bila tidak menjawab maka kami akan memilih pemenang selanjutnya - Hadiah untuk para pemenang pihak kami juga Yang akan memilih, pemenang Hanya boleh memilih ukuran nya saja
.
Terima kasihh, selamat mengikuti giveaway nyaa
#univ.indonesia
#uny
#ugm#unpad#unj#unja#ui#steitazkia#uinjakarta#lipia#unnes#unsoed","['univ.indonesia', 'uny', 'ugm', 'unpad', 'unj', 'unja', 'ui', 'steitazkia', 'uinjakarta', 'lipia', 'unnes', 'unsoed']",21,[]
3,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]
Hallo Kaka-kaka berikut Price List Photobooth kita  Kami Menyediakan Jasa Photobooth, Photostripe, Photobooth 360 atau 180 & Dokumentasi untuk Wedding, Birthday, Aqiqah, Launching, Family Gathering, Arisan & Event2 kamu! 
Jasa Photobooth dan Dokumentasi ini untuk Jabodetabek & Bandung. 
Paket Photobooth include : * free akomodasi
* unlimited shoot
* frame photo
* backdrop standart
* fun props
* camera canon
* printer photo
* crew
* all file photo (soft copy)
Untuk informasi lebih lanjut bisa whatsapp ke no : 085773189215 - Smile Photobooth
@smilephotobooth_

#photobooth #photoboothwedding #photoboothjakarta #photoboothbogor #photoboothjkt #photoboothdepok #photoboothbekasi #photoboothtangerang #photoboothmurah #photoboothbandung #photostrip #photostripsjkt #photoboothbirthdayparty #dokumentasi #photoboothreunian #photostripsjkt #photostrip
#photoboothmurah
#photobooth360 #photobooth80 #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta
#paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC15","['photobooth', 'photoboothwedding', 'photoboothjakarta', 'photoboothbogor', 'photoboothjkt', 'photoboothdepok', 'photoboothbekasi', 'photoboothtangerang', 'photoboothmurah', 'photoboothbandung', 'photostrip', 'photostripsjkt', 'photoboothbirthdayparty', 'dokumentasi', 'photoboothreunian', 'photostripsjkt', 'photostrip', 'photoboothmurah', 'photobooth360', 'photobooth80', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc15']",18,[]
4,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Halo Guys!

Buat kalian yg cari kaus kaki bermotif lucu, unik dan motif tribal bisa di cek ig @gosocks.in
Bukan hanya motif-motifnya yg beragam, bahan dari kaus kaki nya pun tebal dan halus yg pastinya nyaman banget dipake buat sehari-hari loh!
Soal harga? Gausah khawatir! Harga-harganya terjangkau kok dan pastinya kita jg ada special price loh! Yuk buruan di cek ig @gosocks.in

#kaoskakimurah #kaoskakimotif #kaostribal #kaoskakijogja #kaoskakiwarna #kaoskakijakarta #kaoskakiimport #kaoskakibandung #kaoskakipolos #kaoskakipremium #premiumsocks
#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC14","['kaoskakimurah', 'kaoskakimotif', 'kaostribal', 'kaoskakijogja', 'kaoskakiwarna', 'kaoskakijakarta', 'kaoskakiimport', 'kaoskakibandung', 'kaoskakipolos', 'kaoskakipremium', 'premiumsocks', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc14']",20,[]
5,cindihouw_,"*WARNING* *[[ 7 Days Left for Registration Calculus Cup XI UNJ  ]]* 
Presiden Calculus sekali lagi mengingatkan pemuda-pemudi untuk segera mendaftarkan tim terbaiknya di : *CALCULUS CUP XI UNJ* *CALCULUS LEAGUE*  Spesial untuk kamu mahasiswa/i pecinta kalkulus !! H-7 close registration Calculus Cup XI UNJ, udah pada daftar belum nih?? Yuk yang belum daftar segera daftarkan tim terbaikmu. Jangan sampai kamu kelewatan acara yang kece ini.

Buat kamu yang mau tau info seputar Calculus Cup XI bisa akses di link dibawah ini ya
http://bit.ly/calculuscupXIUNJ

Gimana? Menarik bangetkan? 
So, tunggu apalagi!!
Buruan daftar di 
Isi link pendaftaran kompetisi kalkulus :
http://bit.ly/kompetisiCCXIUNJ

For more information, you can ask them :
 Adam : 085717077010
 Amanda : 085695067732 
 Twitter: bit.ly/TwitterCalcup
 FB: bit.ly/FacebookCalcup
 IG: bit.ly/InstagramCalcup
 Line: bit.ly/LineCalcup
 #CalculusCupXIUNJ
#CalculusLeague
*  XI*","['calculuscupxiunj', 'calculusleague']",28,[]
6,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Pingin nambah followers tapi bingung dimana?
__
Kami menyediakan berbagai jenis kebutuhan sosial media. Mulai dari followers,like,komen, dll.
.
Hanya butuh username
proses Instan
order via BCA, Pulsa (+5k)
So tunggu apalagi?
Yuk buruan order.
Wa : 0813 4930 0261
Line : @060cqdsc ( pakai @) #dagelan#bikinrame#kuliner#kulinerindonesia#masakanindonesia#paidpromotebali#pilpres2019#kuliner#selebgram#artisindonesia
#paidpromoteindo #paidpromoteolshop
#paidpromotemurah #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC13","['dagelan', 'bikinrame', 'kuliner', 'kulinerindonesia', 'masakanindonesia', 'paidpromotebali', 'pilpres2019', 'kuliner', 'selebgram', 'artisindonesia', 'paidpromoteindo', 'paidpromoteolshop', 'paidpromotemurah', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc13']",13,[]
7,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Kamu bingung dan nugas jadi ga nyaman karena laptop/PC bermasalah ? mau benerin tapi males jalan ke gerai servis ?

Kini Sobat Gadget hadir melayani jasa servis laptop/PC yang akan menyelesaikan semua permasalahanmu !!! Layanan Kami :
1. Install/Repair Operating System - Windows 7, 8,10 (32bit/64bit) - Linux (Ubuntu, mint, debian)
2. Install Microsoft Office 2010/2013/2016/2019
3. Install Adobe package
4. Install Aplikasi yang kamu inginkan.
5. Upgrade Laptop/PC (RAM/SSD/HDD)
6. Perbaikan Hardware (Mati total/touchpad/dll)
7. Penggantian LCD/battery/Keyboard dll.
8. Dan Lainnya .

Selain perbaikan, kita juga melayani : 
1. Pembelian Accesoris (Flashdisk, enclosure, harddisk external, dll)
2. Konsultasi teknologi  Kenapa Harus Sobat Gadget ? 
1. Harga bersahabat
2.  Gratis antar jemput device (Jakarta/Bekasi)
3.  Garansi terlama hingga 100hari
4.  Gratis Konsultasi

Yuk segera konsultasikan permasalahan laptop/PC anda  ke :
http://bit.ly/SobatGadget

Untuk info promo menarik kalian bisa pantengin
 : sobatgadgetcom
 : http://sobatgadget.com

Review terkait pelayanan Sobat Gadget kalian bisa klik https://g.co/kgs/yA8c1w

 Sobat Gadget - _Mari Selesaikan_

#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC12","['calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc12']",13,[]
8,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Mau denger lagu SP0T1FY/J00X tapi susah karena harus shuffle dan beli premium/VIP?
Mau nonton film N3TFL1X tapi ribet karena sistem pembayaran yang ribet?
Mau edit"" foto tapi belum punya filter"" subscription VSC0/UNF0LD/P1CS4RT G0LD?

Sekarang kamu ga perlu khawatir lagi karena sekarang @PusatPremium.id menyediakan segala kebutuhan digital mu! N3TFL1X PREMIUM Mulai dari 50.000 kamu sudah bisa streaming + offline mode !
SP0T1FY/J00X cuma sekali bayar(garansi selamanya) 50.000 kamu ga perlu khawatir lagi harus shuffle dan skip lagu + Offline mode
VSC0/UNF0LD/P1CS4RT G0LD semua harga mulai dari 50.000 saja kamu bisa pake selamanya !

SOLUSINYA CUMA @PusatPremium.id @PusatPremium.id @PusatPremium.id

Yuk chat skrg juga untuk produk lainnya
WA : 087787214091
Atau klik link di Bio Insta

NB : katalog lengkap chat lgsg ke whatsapp ya kak

#PusatPremiumKatalog #PusatPremiumcalculus
#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC11p","['pusatpremiumkatalog', 'pusatpremiumcalculus', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc11p']",11,[]
9,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Buat kalian yang lagi nyari makeup original dan murah,kalian bisa banget nih cek instagramnya @rhaubycare karena disana banyak bgt makeup,tools,sampe skincare loh. Gratis ongkir via shopee? Bisa bangett. Free delivery untuk sekitaran anak UNJ kampus A yaa Buat kalian yang lagi nyari makeup original dan murah,kalian bisa banget nih cek instagramnya @rhaubycare karena disana banyak bgt makeup,tools,sampe skincare loh. Gratis ongkir via shopee? Bisa bangett. Free delivery untuk sekitaran anak UNJ kampus A yaa #Rhaubycare #MakeupFocallure #SkincareOriginal #MakeupBogor #MakeupJaktim #CodUNJ
#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC10","['rhaubycare', 'makeupfocallure', 'skincareoriginal', 'makeupbogor', 'makeupjaktim', 'codunj', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc10']",20,[]
